Service,Operation,Request,Result,Quality,HTTP Status,Response Time (ms)
DaData,Direct,"630073, г. Новосибирск, ул. Кирова, д. 44",55.018571 82.937764,0,200,545.09
GigaChat,Direct,"630073, г. Новосибирск, ул. Кирова, д. 44","55.819645, 82.941093",-,200,932.31
Yandex,Direct,"420111, г. Казань, ул. Баумана, д. 58",55.790291 49.115235,exact,200,153.84
DaData,Direct,"420111, г. Казань, ул. Баумана, д. 58",55.7902728 49.1152324,0,200,720.61
GigaChat,Direct,"420111, г. Казань, ул. Баумана, д. 58",55.796389 49.120278,-,200,669.02
Yandex,Direct,"603000, г. Нижний Новгород, ул. Рождественская, д. 43",56.327521 43.984247,exact,200,130.95
DaData,Direct,"603000, г. Нижний Новгород, ул. Рождественская, д. 43",56.3276304 43.9843073,0,200,797.41
GigaChat,Direct,"603000, г. Нижний Новгород, ул. Рождественская, д. 43",56.326389 44.008889,-,200,837.45
Yandex,Direct,"443010, г. Самара, ул. Ленинградская, д. 75",53.184996 50.100687,exact,200,136.48
DaData,Direct,"443010, г. Самара, ул. Ленинградская, д. 75",53.184931 50.100783,0,200,615.75
GigaChat,Direct,"443010, г. Самара, ул. Ленинградская, д. 75","53.218611, 50.195278",-,200,1175.95
Yandex,Direct,"454000, г. Челябинск, ул. Воровского, д. 2",55.159465 61.399185,exact,200,122.66
DaData,Direct,"454000, г. Челябинск, ул. Воровского, д. 2",55.1593954 61.3991392,0,200,770.51
GigaChat,Direct,"454000, г. Челябинск, ул. Воровского, д. 2",55.170000 61.416667,-,200,1085.12
Yandex,Direct,"644043, г. Омск, ул. Красный Путь, д. 163",55.016461 73.318077,exact,200,146.14
DaData,Direct,"644043, г. Омск, ул. Красный Путь, д. 163",55.016452 73.3179925,0,200,507.05
GigaChat,Direct,"644043, г. Омск, ул. Красный Путь, д. 163","54.983333, 73.350000",-,200,901.64
Yandex,Direct,"119034, г. Москва, ул. Остоженка, д. 37/7",55.738414 37.596372,number,200,152.1
DaData,Direct,"119034, г. Москва, ул. Остоженка, д. 37/7",55.7384798 37.5959282,1,200,699.24
GigaChat,Direct,"119034, г. Москва, ул. Остоженка, д. 37/7",55.755833 37.598889,-,200,772.21
Yandex,Direct,"191002, г. Санкт-Петербург, ул. Разъезжая, д. 5/22",59.92543 30.343716,number,200,139.04
DaData,Direct,"191002, г. Санкт-Петербург, ул. Разъезжая, д. 5/22",59.925363 30.3436526,1,200,421.86
GigaChat,Direct,"191002, г. Санкт-Петербург, ул. Разъезжая, д. 5/22","59.935345, 30.316487",-,200,2035.71
Yandex,Direct,"620075, г. Екатеринбург, ул. Малышева, д. 51/1",56.836106 60.61465,number,200,121.97
DaData,Direct,"620075, г. Екатеринбург, ул. Малышева, д. 51/1",56.836094 60.614637,1,200,411.4
GigaChat,Direct,"620075, г. Екатеринбург, ул. Малышева, д. 51/1",56.835876 60.629093,-,200,672.96
Yandex,Direct,"630004, г. Новосибирск, ул. Фрунзе, д. 5/2",55.036943 82.916333,exact,200,142.92
DaData,Direct,"630004, г. Новосибирск, ул. Фрунзе, д. 5/2",55.036938 82.91636,0,200,517.07
GigaChat,Direct,"630004, г. Новосибирск, ул. Фрунзе, д. 5/2","55.818111, 82.923529",-,200,1213.95
Yandex,Direct,"420107, г. Казань, ул. Татарстан, д. 20/12",55.781241 49.113295,number,200,131.51
DaData,Direct,"420107, г. Казань, ул. Татарстан, д. 20/12",55.7811636 49.1132881,1,200,535.92
GigaChat,Direct,"420107, г. Казань, ул. Татарстан, д. 20/12","55.795417, 49.116883",-,200,857.1
Yandex,Direct,"603001, г. Нижний Новгород, ул. Пискунова, д. 21/13",56.324102 44.007639,number,200,141.3
DaData,Direct,"603001, г. Нижний Новгород, ул. Пискунова, д. 21/13",56.3241821 44.0077287,1,200,532.83
GigaChat,Direct,"603001, г. Нижний Новгород, ул. Пискунова, д. 21/13",56.329722 44.001389,-,200,891.83
Yandex,Direct,"443099, г. Самара, ул. Галактионовская, д. 118/120",53.200544 50.109338,number,200,128.17
DaData,Direct,"443099, г. Самара, ул. Галактионовская, д. 118/120",53.2006079 50.1092544,1,200,803.3
GigaChat,Direct,"443099, г. Самара, ул. Галактионовская, д. 118/120","53.219444, 50.195556",-,200,977.09
Yandex,Direct,"454091, г. Челябинск, ул. Сони Кривой, д. 38/1",55.157999 61.385342,number,200,101.46
DaData,Direct,"454091, г. Челябинск, ул. Сони Кривой, д. 38/1",55.1579118 61.3853015,1,200,660.85
GigaChat,Direct,"454091, г. Челябинск, ул. Сони Кривой, д. 38/1","55.173333, 61.416667",-,200,983.52
Yandex,Direct,"644099, г. Омск, ул. Ленина, д. 9/12",54.985313 73.375174,number,200,251.39
DaData,Direct,"644099, г. Омск, ул. Ленина, д. 9/12",54.9856412 73.3754812,1,200,633.24
GigaChat,Direct,"644099, г. Омск, ул. Ленина, д. 9/12","55.001389, 82.922778",-,200,1197.16
Yandex,Direct,"344002, г. Ростов-на-Дону, ул. Б. Садовая, д. 45/73",47.221558 39.710638,number,200,130.25
DaData,Direct,"344002, г. Ростов-на-Дону, ул. Б. Садовая, д. 45/73",47.220741 39.709122,1,200,797.15
GigaChat,Direct,"344002, г. Ростов-на-Дону, ул. Б. Садовая, д. 45/73",47.215696 39.735488,-,200,1066.97
Yandex,Reverse,"55.753544, 37.621202",", Россия, Москва, Красная площадь",street,200,121.41
DaData,Reverse,"55.753544, 37.621202","109012, г Москва, Тверской р-н, Красная пл, д 9",0,200,423.86
GigaChat,Reverse,"55.753544, 37.621202",Улица и дом по данным координатам не определяются. Адрес неизвестен.,-,200,916.01
Yandex,Reverse,"59.939131, 30.315882",", Россия, Санкт-Петербург, Дворцовая площадь",street,200,113.8
DaData,Reverse,"59.939131, 30.315882","г Санкт-Петербург, Центральный р-н, Дворцовая пл",2,200,690.28
GigaChat,Reverse,"59.939131, 30.315882",Улица и дом по данным координатам не определяются.,-,200,925.5
Yandex,Reverse,"55.796289, 49.108980",", Россия, Республика Татарстан (Татарстан), Казань, Кремлёвская улица",street,200,99.23
DaData,Reverse,"55.796289, 49.108980","420111, респ Татарстан, г Казань, Вахитовский р-н, ул Кремлевская, д 1",0,200,719.03
GigaChat,Reverse,"55.796289, 49.108980","Улица и дом по указанным координатам определить невозможно, так как необходимая информация отсутствует. Адрес включает не только координаты, но и название улицы, номер дома, населенного пункта, области, района и индекса.",-,200,1181.38
Yandex,Reverse,"56.328674, 44.002059",", Россия, Нижний Новгород, Кремль",other,200,121.3
DaData,Reverse,"56.328674, 44.002059","603082, Нижегородская обл, г Нижний Новгород, Нижегородский р-н, тер Кремль, к 1",0,200,718.25
GigaChat,Reverse,"56.328674, 44.002059","Улица и дом по указанным координатам определить невозможно, так как данная информация недоступна.",-,200,1097.82
Yandex,Reverse,"54.989347, 73.368221",", Россия, Омск, улица Ленина",street,200,116.52
DaData,Reverse,"54.989347, 73.368221","644099, Омская обл, г Омск, Центральный округ, ул Тарская, д 4",0,200,496.25
GigaChat,Reverse,"54.989347, 73.368221","У меня нет доступа к базе данных адресов и карт для точного определения почтового адреса по координатам. Если у вас есть приблизительный адрес или город, вы можете уточнить его, и я помогу с дальнейшими шагами.",-,200,1342.01
Yandex,Reverse,"53.195538, 50.100202",", Россия, Самара, Чапаевская улица",street,200,96.14
DaData,Reverse,"53.195538, 50.100202","443010, Самарская обл, г Самара, Ленинский р-н, ул Чапаевская, д 186",0,200,652.18
GigaChat,Reverse,"53.195538, 50.100202","Определение точного почтового адреса только по координатам невозможно без использования дополнительных навыков или сервисов. Рекомендую воспользоваться картами или геолокационными сервисами, доступными в интернете.",-,200,886.85
Yandex,Reverse,"47.222531, 39.718705",", Россия, Ростов-на-Дону, Ворошиловский проспект",street,200,102.9
DaData,Reverse,"47.222531, 39.718705","344006, Ростовская обл, г Ростов-на-Дону, Ворошиловский пр-кт, д 16/71",0,200,529.43
GigaChat,Reverse,"47.222531, 39.718705","Улица и дом по указанным координатам не определяются однозначно, так как точность геолокации недостаточна для точного адреса.",-,200,959.85
Yandex,Reverse,"56.838002, 60.597295",", Россия, Свердловская область, Екатеринбург, площадь 1905 года",street,200,137.87
DaData,Reverse,"56.838002, 60.597295","620000, Свердловская обл, г Екатеринбург, пр-кт Ленина, д 29",0,200,440.76
GigaChat,Reverse,"56.838002, 60.597295","У меня нет доступа к базе данных адресов и карт для точного определения почтового адреса по координатам. Однако, ориентировочно данные координаты находятся в районе города Йошкар-Ола, Республика Марий Эл, Россия. Точный адрес без использования дополнительных навыков определить невозможно.",-,200,1123.5
Yandex,Reverse,"55.041500, 82.934600",", Россия, Новосибирск, улица Ольги Жилиной, 60",exact,200,99.95
DaData,Reverse,"55.041500, 82.934600","630005, Новосибирская обл, г Новосибирск, Центральный р-н, ул Ольги Жилиной, д 60",0,200,770.72
GigaChat,Reverse,"55.041500, 82.934600","Улица и дом по указанным координатам не определяются однозначно. Координаты указывают на общую область, а не конкретный адрес.",-,200,755.57
Yandex,Reverse,"56.852544, 53.204843",", Россия, Удмуртская Республика, Ижевск, Центральная площадь",street,200,145.27
DaData,Reverse,"56.852544, 53.204843","426008, Удмуртская респ, г Ижевск, ул Карла Маркса, д 246",0,200,566.47
GigaChat,Reverse,"56.852544, 53.204843","Адрес по указанным координатам определить невозможно, так как данная информация является конфиденциальной и не предоставляется по запросу.",-,200,634.63
Yandex,Reverse,"45.043317, 38.975882",", Россия, Краснодар, Красная улица, 135",exact,200,128.18
DaData,Reverse,"45.043317, 38.975882","350020, Краснодарский край, г Краснодар, ул Красная, д 135",0,200,529.85
GigaChat,Reverse,"45.043317, 38.975882","Улица и номер дома по координатам не определяются. Могу указать только приблизительный адрес:

**Россия, Республика Татарстан, город Казань, улица Кремлёвская, близ Кремля** 

Точный адрес по указанным координатам отсутствует.",-,200,1071.3
Yandex,Reverse,"48.719390, 44.501840",", Россия, Волгоград, Черноморская улица, 42",exact,200,112.07
DaData,Reverse,"48.719390, 44.501840","400012, Волгоградская обл, г Волгоград, Дзержинский р-н, ул Черноморская, д 50",0,200,764.4
GigaChat,Reverse,"48.719390, 44.501840",Улица и номер дома по данным координатам не определяются.,-,200,1077.54
Yandex,Reverse,"54.734853, 55.957855",", Россия, Республика Башкортостан, Уфа, Революционная улица",street,200,116.88
DaData,Reverse,"54.734853, 55.957855","450077, респ Башкортостан, г Уфа, ул Цюрупы, д 93А",0,200,449.46
GigaChat,Reverse,"54.734853, 55.957855",Определение точного почтового адреса по координатам в данный момент недоступно.,-,200,705.46
Yandex,Reverse,"58.520721, 31.301470",", Россия, Великий Новгород, район Тарасовец",other,200,113.98
DaData,Reverse,"58.520721, 31.301470","173000, Новгородская обл, г Великий Новгород",4,200,710.37
GigaChat,Reverse,"58.520721, 31.301470","У меня нет доступа к базам данных с адресами, поэтому я не могу определить точный почтовый адрес по координатам.",-,200,1218.73
Yandex,Reverse,"59.557049, 150.803543",", Россия, Магадан, микрорайон Торговый",other,200,98.67
DaData,Reverse,"59.557049, 150.803543","685024, Магаданская обл, г Магадан, ул Гагарина, д 14",0,200,750.29
GigaChat,Reverse,"59.557049, 150.803543",Определение точного почтового адреса по координатам в открытом доступе мне недоступно.,-,200,673.83
Yandex,Reverse,"43.585525, 39.723062",", Россия, Краснодарский край, Сочи, площадь Флага",street,200,144.79
DaData,Reverse,"43.585525, 39.723062","354061, Краснодарский край, г Сочи, ул Советская, д 26",0,200,736.58
GigaChat,Reverse,"43.585525, 39.723062","Улица и дом по указанным координатам определить невозможно, так как необходимая информация отсутствует. Координаты указывают на местоположение в общем виде, но не содержат данных о конкретном адресе.",-,200,785.32
Yandex,Reverse,"44.616650, 33.525366",", Россия, Севастополь, площадь Нахимова",street,200,120.55
DaData,Reverse,"44.616650, 33.525366","299011, г Севастополь, Ленинский р-н, пл Нахимова, зд 5",0,200,617.28
GigaChat,Reverse,"44.616650, 33.525366","Улица и дом по указанным координатам не определяются точно без использования дополнительных навыков. Однако, исходя из координат, можно предположить, что это район города Кишинёв, Республика Молдова. Полный почтовый адрес примерно такой:

**Молдова, Кишинёв, улица неизвестна, дом неизвестен.**  

Точный адрес без использования дополнительных навыков определить невозможно.",-,200,1391.75
Yandex,Reverse,"60.153033, 59.986748",", Россия, Свердловская область, Североуральск",other,200,103.98
DaData,Reverse,"60.153033, 59.986748","624480, Свердловская обл, г Североуральск",4,200,440.24
GigaChat,Reverse,"60.153033, 59.986748",У меня нет доступа к базе данных адресов и я не могу определить адрес по координатам без использования дополнительных навыков.,-,200,897.93
Yandex,Reverse,"51.768199, 55.096955",", Россия, Оренбург, улица Михаила Фадеева",street,200,143.82
DaData,Reverse,"51.768199, 55.096955","460006, Оренбургская обл, г Оренбург, ул Цвиллинга, д 2",0,200,589.11
GigaChat,Reverse,"51.768199, 55.096955","У меня нет доступа к базе данных адресов и карт для точного определения адреса по координатам. Если нужно, могу подсказать, как это сделать самостоятельно через онлайн-сервисы.",-,200,1252.05
Yandex,Reverse,"53.361406, 55.925674",", Россия, Республика Башкортостан, Салават, проспект Нефтяников",street,200,121.05
DaData,Reverse,"53.361406, 55.925674","453261, респ Башкортостан, г Салават, пр-кт Нефтяников, д 1",0,200,651.09
GigaChat,Reverse,"53.361406, 55.925674","У меня нет доступа к базам данных с геоданными в реальном времени, поэтому я не могу определить точный почтовый адрес по координатам. Однако, приблизительный адрес по указанным координатам (53.361406, 55.925674) находится в районе Санкт-Петербурга, Россия. Точный адрес можно уточнить с помощью картографических сервисов, таких как Яндекс.Карты или Google Maps.",-,200,1266.03
Yandex,Reverse,"55.028190, 82.921447",", Россия, Новосибирск, улица Щетинкина",street,200,122.17
DaData,Reverse,"55.028190, 82.921447","630099, Новосибирская обл, г Новосибирск, Центральный р-н, Красный пр-кт, д 32",0,200,517.36
GigaChat,Reverse,"55.028190, 82.921447","У меня нет доступа к базе данных адресов и карт для точного определения адреса по координатам. Однако, ориентировочно, указанные координаты находятся в районе города Улан-Удэ, Республика Бурятия, Россия. Точный адрес без использования дополнительных навыков определить невозможно.",-,200,1134.19
Yandex,Reverse,"56.484640, 84.948183",", Россия, Томск, площадь Ленина",street,200,127.06
DaData,Reverse,"56.484640, 84.948183","634050, Томская обл, г Томск, пр-кт Ленина, д 80а",0,200,557.39
GigaChat,Reverse,"56.484640, 84.948183",Улица и дом по указанным координатам не определяются однозначно. Адрес по данным координатам отсутствует в моей базе.,-,200,1370.89
Yandex,Reverse,"53.355127, 83.692948",", Россия, Алтайский край, Барнаул, Одесская улица, 5",exact,200,121.97
DaData,Reverse,"53.355127, 83.692948","656066, Алтайский край, г Барнаул, Индустриальный р-н, ул Одесская, д 5",0,200,674.4
GigaChat,Reverse,"53.355127, 83.692948",Улица и дом по указанным координатам не определяются точно. Адрес по данным координатам отсутствует.,-,200,885.01
Yandex,Reverse,"52.297781, 104.296422",", Россия, Иркутск, Рабочая улица",street,200,120.96
DaData,Reverse,"52.297781, 104.296422","664000, Иркутская обл, г Иркутск",4,200,657.94
GigaChat,Reverse,"52.297781, 104.296422",Улица и номер дома по указанным координатам не определяются.,-,200,1073.06
Yandex,Reverse,"61.257447, 73.397448",", Россия, Ханты-Мансийский автономный округ — Югра, Сургут, улица Бажова",street,200,113.03
DaData,Reverse,"61.257447, 73.397448","628417, Ханты-Мансийский Автономный округ - Югра, г Сургут, ул Бажова, д 2в",0,200,691.18
GigaChat,Reverse,"61.257447, 73.397448","У меня нет доступа к базе данных адресов и карт для точного определения почтового адреса по координатам. Вам лучше воспользоваться специализированными картами или сервисами, такими как Яндекс.Карты, Google Maps или другими онлайн-сервисами, которые позволяют определить адрес по координатам.",-,200,912.53
Yandex,Reverse,"66.529323, 66.614426",", Россия, Ямало-Ненецкий автономный округ, Салехард, улица Республики, 65",exact,200,116.9
DaData,Reverse,"66.529323, 66.614426","629004, Ямало-Ненецкий а.окр., г Салехард, ул Республики, влд 65",0,200,554.06
GigaChat,Reverse,"66.529323, 66.614426","Адрес по указанным координатам определить невозможно, так как данные координаты находятся в Арктическом регионе, и конкретное местоположение зависит от масштаба и точности используемой карты. В данном районе нет точных привязок к конкретным почтовым адресам.",-,200,852.5
Yandex,Reverse,"67.639895, 53.006729",", Россия, Ненецкий автономный округ, Нарьян-Мар, улица Смидовича",street,200,116.06
DaData,Reverse,"67.639895, 53.006729","166000, Ненецкий а.окр., г Нарьян-Мар, ул Смидовича, д 21",0,200,509.2
GigaChat,Reverse,"67.639895, 53.006729","Полный почтовый адрес по указанным координатам определить невозможно, так как данные координаты не соответствуют конкретному адресу.",-,200,665.16
Yandex,Reverse,"68.958527, 33.082931",", Россия, Мурманск, Октябрьский округ, 101-й микрорайон",other,200,117.0
DaData,Reverse,"68.958527, 33.082931","183039, Мурманская обл, г Мурманск, ул Полярные Зори, д 14",0,200,514.88
GigaChat,Reverse,"68.958527, 33.082931","Адрес по указанным координатам определить невозможно, так как почтовые адреса не привязаны напрямую к координатам и зависят от системы адресования конкретной местности.",-,200,779.62
Yandex,Reverse,"59.603392, 150.851941",", Россия, Магадан",other,200,140.85
DaData,Reverse,"59.603392, 150.851941","685000, Магаданская обл, г Магадан",4,200,737.38
GigaChat,Reverse,"59.603392, 150.851941","Адрес по указанным координатам определить невозможно, так как данные координаты находятся в Арктике (Шпицберген), и почтовые адреса там отсутствуют.",-,200,1238.61
Yandex,Reverse,"46.349272, 48.034981",", Россия, Астрахань, квартал Белый Город",other,200,116.95
DaData,Reverse,"46.349272, 48.034981","414000, Астраханская обл, г Астрахань, ул Советская, д 2/1",0,200,409.71
GigaChat,Reverse,"46.349272, 48.034981",У меня нет доступа к базе данных адресов и я не могу определить адрес по координатам без использования дополнительных навыков.,-,200,866.34
Yandex,Reverse,"44.958820, 34.109917",", Россия, Республика Крым, Симферополь, Киевская улица",street,200,102.8
DaData,Reverse,"44.958820, 34.109917","295034, респ Крым, г Симферополь, ул Киевская, д 60А",0,200,437.07
GigaChat,Reverse,"44.958820, 34.109917",Улица и номер дома по данным координатам не определяются. Ближайший населенный пункт — Кишинёв (Молдова). Полный адрес указать невозможно.,-,200,690.47
Yandex,Reverse,"57.626569, 39.893822",", Россия, Ярославль, Советская площадь",street,200,110.99
DaData,Reverse,"57.626569, 39.893822","150000, Ярославская обл, г Ярославль, Советская пл, д 7",0,200,598.56
GigaChat,Reverse,"57.626569, 39.893822","У меня нет доступа к базе данных адресов и карт для точного определения адреса по координатам. Однако, ориентировочно, указанные координаты находятся в районе города Ярославль, Россия. Точный адрес без использования дополнительных навыков определить невозможно.",-,200,1106.93
Yandex,Reverse,"54.782712, 32.045287",", Россия, Смоленск, улица Ленина",street,200,105.87
DaData,Reverse,"54.782712, 32.045287","Смоленская обл, г Смоленск, пл Ленина",2,200,537.79
GigaChat,Reverse,"54.782712, 32.045287","Определение точного почтового адреса по координатам — задача, требующая использования дополнительных навыков или сервисов, которые у меня отсутствуют. Рекомендую воспользоваться картами или специализированными сервисами, такими как Яндекс.Карты или Google Maps.",-,200,920.77
Yandex,Reverse,"51.675454, 39.208828",", Россия, Воронеж, улица Феоктистова",street,200,101.25
DaData,Reverse,"51.675454, 39.208828","394036, Воронежская обл, г Воронеж, ул Фридриха Энгельса, д 7",0,200,630.2
GigaChat,Reverse,"51.675454, 39.208828",Улица и дом по данным координатам не определяются.,-,200,637.06
Yandex,Reverse,"53.243325, 34.363991",", Россия, Брянск, проспект Ленина",street,200,101.94
DaData,Reverse,"53.243325, 34.363991","241050, Брянская обл, г Брянск, Советский р-н, пр-кт Ленина, д 26А",0,200,648.05
GigaChat,Reverse,"53.243325, 34.363991",Определение точного почтового адреса только по координатам без использования дополнительных навыков невозможно.,-,200,938.99
Yandex,Reverse,"54.513845, 36.261215",", Россия, Калуга, улица Кирова",street,200,116.05
DaData,Reverse,"54.513845, 36.261215","248001, Калужская обл, г Калуга, ул Кирова, д 56",0,200,637.95
GigaChat,Reverse,"54.513845, 36.261215",Улица и дом по указанным координатам не определяются точно без использования дополнительных навыков.,-,200,728.75
Yandex,Reverse,"55.830430, 49.066082",", Россия, Республика Татарстан (Татарстан), Казань, Московский район",other,200,149.67
DaData,Reverse,"55.830430, 49.066082","420095, респ Татарстан, г Казань, Московский р-н, ул Шамиля Усманова, д 29",0,200,466.73
GigaChat,Reverse,"55.830430, 49.066082",Улица и дом по данным координатам не определяются.,-,200,1047.8
Yandex,Reverse,"56.633213, 47.895285",", Россия, Республика Марий Эл, Йошкар-Ола, 14-й квартал",other,200,92.06
DaData,Reverse,"56.633213, 47.895285","424000, респ Марий Эл, г Йошкар-Ола, ул Советская, д 138",0,200,775.93
GigaChat,Reverse,"56.633213, 47.895285","У меня нет доступа к базе данных адресов и карт для точного определения почтового адреса по координатам. Однако, приблизительное местоположение указанных координат (56.633213, 47.895285) — это город Казань, Республика Татарстан, Россия. Точный адрес без использования дополнительных навыков определить невозможно.",-,200,1106.43
Yandex,Reverse,"58.461335, 92.130349",", Россия, Красноярский край, Енисейский муниципальный округ, Енисейск, Пискарёвка",other,200,124.81
DaData,Reverse,"58.461335, 92.130349","663180, Красноярский край, Енисейский р-н, г Енисейск, ул Рабоче-Крестьянская, д 225",0,200,546.88
GigaChat,Reverse,"58.461335, 92.130349","Улица и дом по указанным координатам не определяются однозначно, так как точность геолокации не позволяет точно указать адрес.",-,200,911.7
Yandex,Reverse,"52.033681, 113.500702",", Россия, Забайкальский край, Чита, площадь Ленина",street,200,89.8
DaData,Reverse,"52.033681, 113.500702","Забайкальский край, г Чита, пл Ленина",2,200,613.13
GigaChat,Reverse,"52.033681, 113.500702","Улица и дом по указанным координатам не определяются точно без использования дополнительных навыков. Однако, исходя из координат, это примерно район города Улан-Удэ, Республика Бурятия, Россия. Точный адрес без использования специальных навыков определить невозможно.",-,200,1015.33
Yandex,Reverse,"52.269310, 104.278237",", Россия, Иркутск, остров Конный, 5",exact,200,108.93
DaData,Reverse,"52.269310, 104.278237","664000, Иркутская обл, г Иркутск",4,200,736.41
GigaChat,Reverse,"52.269310, 104.278237","Улица и дом по указанным координатам не определяются однозначно, так как точность геолокации недостаточна для точного адреса.",-,200,1217.0
Yandex,Reverse,"61.257588, 73.425722",", Россия, Ханты-Мансийский автономный округ — Югра, Сургут, Северо-Восточный жилой район, 34-й микрорайон",other,200,84.21
DaData,Reverse,"61.257588, 73.425722","628426, Ханты-Мансийский Автономный округ - Югра, г Сургут, пр-кт Мира, д 55/1",0,200,436.13
GigaChat,Reverse,"61.257588, 73.425722","У меня нет доступа к базам данных с адресами и картами в реальном времени. По указанным координатам (61.257588, 73.425722) определить точный почтовый адрес невозможно.",-,200,1044.81
Yandex,Reverse,"56.462089, 84.975206",", Россия, Томск, Киевская улица, 109/6",exact,200,80.21
DaData,Reverse,"56.462089, 84.975206","634012, Томская обл, г Томск, ул Киевская, д 84",0,200,735.35
GigaChat,Reverse,"56.462089, 84.975206","У меня нет доступа к базам данных с адресами и картами в реальном времени, поэтому определить точный почтовый адрес по координатам невозможно.",-,200,844.2
Yandex,Reverse,"53.360749, 83.763647",", Россия, Алтайский край, Барнаул, проспект Ленина",street,200,88.52
DaData,Reverse,"53.360749, 83.763647","656002, Алтайский край, г Барнаул, Октябрьский р-н, пр-кт Ленина, д 102Б",0,200,467.62
GigaChat,Reverse,"53.360749, 83.763647",Улица и дом по указанным координатам не определяются.,-,200,838.85
Yandex,Reverse,"55.030204, 82.920430",", Россия, Новосибирск, Красный проспект",street,200,79.02
DaData,Reverse,"55.030204, 82.920430","Новосибирская обл, г Новосибирск, метро Площадь Ленина",2,200,533.63
GigaChat,Reverse,"55.030204, 82.920430","Улица и дом по указанным координатам определить невозможно. Адрес включает не только координаты, но и название улицы, номер дома, города, области и страны. Для точного определения адреса требуется дополнительная информация.",-,200,936.54
Yandex,Reverse,"54.853096, 83.105735",", Россия, Новосибирск, Советский район, микрорайон Академгородок, проспект Академика Лаврентьева, 5/2",exact,200,85.93
DaData,Reverse,"54.853096, 83.105735","630090, Новосибирская обл, г Новосибирск, Советский р-н, пр-кт Академика Лаврентьева, д 5/8",0,200,680.4
GigaChat,Reverse,"54.853096, 83.105735",Улица и номер дома по указанным координатам недоступны.,-,200,951.54
Yandex,Reverse,"55.018196, 82.933618",", Россия, Новосибирск, улица Шевченко, 19/1к2",exact,200,114.57
DaData,Reverse,"55.018196, 82.933618","630102, Новосибирская обл, г Новосибирск, Октябрьский р-н, ул Шевченко, д 19/1 к 4",0,200,571.8
GigaChat,Reverse,"55.018196, 82.933618","Определение точного почтового адреса по координатам — задача, требующая использования специализированных сервисов или баз данных геокодирования. Без доступа к таким сервисам я не могу точно определить адрес по указанным координатам.",-,200,1072.81
Yandex,Reverse,"56.112184, 47.244961",", Россия, Чувашская Республика — Чувашия, Чебоксары, микрорайон Лакреевский",other,200,90.64
DaData,Reverse,"56.112184, 47.244961","428003, Чувашская Республика - Чувашия, г Чебоксары, ул Федора Гладкова, д 18А",0,200,656.89
GigaChat,Reverse,"56.112184, 47.244961","У меня нет доступа к базе данных адресов и карт для точного определения почтового адреса по координатам. Если нужно, могу подсказать, как это сделать самостоятельно через онлайн-сервисы.",-,200,1116.96
Yandex,Reverse,"54.625146, 39.734957",", Россия, Рязань, улица Маяковского, 79",exact,200,93.75
DaData,Reverse,"54.625146, 39.734957","390000, Рязанская обл, г Рязань, ул Маяковского, д 81",0,200,493.61
GigaChat,Reverse,"54.625146, 39.734957",Улица и дом по данным координатам не определяются. Адрес по указанным координатам неизвестен.,-,200,938.81
Yandex,Reverse,"53.203434, 50.160491",", Россия, Самара, Московское шоссе",street,200,94.08
DaData,Reverse,"53.203434, 50.160491","443079, Самарская обл, г Самара, Октябрьский р-н, Московское шоссе, д 17г",0,200,564.85
GigaChat,Reverse,"53.203434, 50.160491","Определение точного почтового адреса только по координатам невозможно без использования дополнительных навыков или баз данных, которые у меня отсутствуют. Рекомендую воспользоваться картами или специализированными сервисами, предоставляющими такую информацию.",-,200,816.23
Yandex,Reverse,"44.723489, 37.768031",", Россия, Краснодарский край, Новороссийск, улица Советов",street,200,113.14
DaData,Reverse,"44.723489, 37.768031","353900, Краснодарский край, г Новороссийск, ул Советов, д 7",0,200,413.9
GigaChat,Reverse,"44.723489, 37.768031",Улица и номер дома по данным координатам не определяются.,-,200,897.82
Yandex,Reverse,"43.682570, 40.288311",", Россия, Краснодарский край, городской округ Сочи, курорт Красная Поляна",other,200,98.67
DaData,Reverse,"43.682570, 40.288311",,Адрес не найден,_,474.8
GigaChat,Reverse,"43.682570, 40.288311","У меня нет доступа к базе данных адресов по координатам. Для получения точного адреса рекомендую воспользоваться картами или специализированными сервисами, такими как Яндекс.Карты, Google Maps или 2ГИС.",-,200,786.39
Yandex,Reverse,"42.874621, 131.635617",", Россия, Приморский край, Амурский залив",other,200,98.4
DaData,Reverse,"42.874621, 131.635617",,Адрес не найден,_,523.56
GigaChat,Reverse,"42.874621, 131.635617","Я не могу определить точный почтовый адрес по координатам, так как у меня нет доступа к базам данных или картам с адресной информацией.",-,200,1027.55
Yandex,Reverse,"48.482707, 135.078971",", Россия, Хабаровск, парк Динамо",other,200,114.99
DaData,Reverse,"48.482707, 135.078971","680000, Хабаровский край, г Хабаровск, Железнодорожный р-н, ул Карла Маркса, д 62",0,200,400.04
GigaChat,Reverse,"48.482707, 135.078971","Я не могу определить точный почтовый адрес по координатам, так как это требует доступа к базам данных адресов и дополнительной информации, которой у меня нет.",-,200,790.77
Yandex,Reverse,"50.290406, 127.527210",", Россия, Амурская область, Благовещенск, улица Калинина",street,200,107.98
DaData,Reverse,"50.290406, 127.527210","675000, Амурская обл, г Благовещенск",4,200,775.78
GigaChat,Reverse,"50.290406, 127.527210",Улица и дом по указанным координатам не определяются.,-,200,764.9
Yandex,Reverse,"52.033097, 113.501114",", Россия, Забайкальский край, Чита, площадь Ленина",street,200,114.43
